cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521760;PLANALTINA;2,14;75,57;95,71;95,11;81,55;102,25;110,55;109,85;90,61;87,07;57,61;78,73;87,98
521770;PONTALINA;23,64;112,73;96,36;93,48;113,3;75,58;75,49;85,29;90,2;87,92;95,65;113,3;112,09
521800;PORANGATU;20,39;87,56;89,81;111,72;61,17;72,7;83,96;79,38;90,34;134,63;89,05;63,86;76,75
521805;PORTEIRAO;1,89;96,23;73,58;186,11;196,67;165,12;155,26;118,42;139,58;107,55;64,15;124,49;97,56
521810;PORTELANDIA;3,53;54,12;65,88;152,46;72,55;62,16;67,69;49,23;78,43;108,11;72,97;40,43;105,41
521830;POSSE;1,94;80,25;62,79;80,92;100;76,47;55,2;73,85;94,94;92,02;98,52;82,72;96,42
521839;PROFESSOR JAMIL;9,09;209,09;113,64;113,33;50;109,38;146,43;175;107,69;72,09;34,88;73,91;179,17
521850;QUIRINOPOLIS;19,33;112,63;131,96;130,08;79,08;92,6;89,17;83,19;95,6;97,21;100,47;66,67;72,55
521860;RIALMA;9,79;98,6;87,41;77,93;113,64;92,86;108;65,33;86,34;98,1;105,7;107,25;64,8
521870;RIANAPOLIS;22,39;77,61;95,52;98,61;107,02;107,46;114,93;67,16;87,1;141,07;67,86;72,22;72,92
521878;RIO QUENTE;34,29;160;151,43;105,66;89,36;116,28;138,64;118,18;141,18;100;98,28;96,08;123,91
521880;RIO VERDE;17,88;93,31;97,84;100,5;83,35;91,99;95,03;92,54;91,25;95,05;91,16;83,57;88,77
521890;RUBIATABA;46,4;104,95;84,23;127,75;82,95;90,91;104,98;108,6;81,15;104,27;91,45;65,35;92,83
521900;SANCLERLANDIA;2,35;95,29;92,94;96,59;107,35;76,19;162,82;103,85;105,95;93,75;88,54;103,41;85,56
521910;SANTA BARBARA DE GOIAS;25,33;101,33;118,67;150;100;81,32;93,86;102,63;76,92;111,83;64,52;49,46;85,29
521920;SANTA CRUZ DE GOIAS;27,27;109,09;118,18;84,62;81,48;89,66;80,77;165,38;134,62;85,71;88,57;71,43;60
521925;SANTA FE DE GOIAS;27,42;135,48;117,74;172,73;67,53;88,52;115;103,75;110,61;98,78;65,85;73,49;112,96
521930;SANTA HELENA DE GOIAS;4,67;75,86;81,74;111,89;101,84;108,7;94,45;91,33;100,55;96,75;96,75;84,59;86,76
521935;SANTA ISABEL;36,67;136,67;133,33;120;130,56;115,62;128,12;84,38;90,24;128,57;134,29;67,44;120
521940;SANTA RITA DO ARAGUAIA;4,88;63,41;67,07;125,77;132,94;71,84;88,54;102,08;88,42;72,38;56,19;46,6;50,55
521945;SANTA RITA DO NOVO DESTINO;6,45;74,19;64,52;74,07;145,83;103,7;206,25;143,75;122,73;70;63,33;94,44;158,82
521950;SANTA ROSA DE GOIAS;20,93;60,47;65,12;72,22;90;131,03;71,43;125;121,62;135,9;84,62;125;94,74
521960;SANTA TEREZA DE GOIAS;17,54;73,68;66,67;70,91;122,73;167,39;81,63;69,39;171,43;106,06;148,48;102,63;80,77
521970;SANTA TEREZINHA DE GOIAS;34,51;107,96;105,31;112,38;49,65;81,08;116,31;85,11;77,92;80,6;94,03;85,25;76,67
521971;SANTO ANTONIO DA BARRA;4,08;110,2;81,63;107,55;100;126,09;127,08;106,25;102,08;102,17;110,87;122,22;104,26
