cod_mun,municipio,populacao,taxa_baseline,taxa_simulada,delta_abs,delta_pct,casos_baseline,casos_simulados,delta_casos
520425,CACHOEIRA DOURADA,8171.0,0.001162374746366249,0.000580301593568574,-0.000582073152797675,-50.076204306512984,9,5,-4
520430,CACU,13886.0,0.010962569626227367,0.008043716289991145,-0.002918853336236222,-26.62563099488116,152,112,-40
520440,CAIAPONIA,17003.0,0.014960445204841992,0.013979888986734664,-0.0009805562181073278,-6.55432511988325,254,238,-16
520450,CALDAS NOVAS,86872.0,0.08359786347913632,0.0832961029365746,-0.0003017605425617159,-0.36096681183368623,7262,7236,-26
520455,CALDAZINHA,4024.0,0.0006115136451900797,0.0005799104106060298,-3.160323458404994e-05,-5.168034243001488,2,2,0
520460,CAMPESTRE DE GOIAS,3631.0,1.493391224929514e-05,1.1977347540343085e-05,-2.956564708952055e-06,-19.79765690059951,0,0,0
520465,CAMPINACU,3766.0,0.0004396507798322297,0.00044310989595251803,3.459116120288334e-06,0.7867872136172097,2,2,0
520470,CAMPINORTE,12058.0,0.0055951629806082585,0.0036713966050267387,-0.0019237663755815198,-34.38266914205927,67,44,-23
520480,CAMPO ALEGRE DE GOIAS,6992.0,1.2822228570519523e-05,1.34917811132377e-05,6.695525427181767e-07,5.221811006064823,0,0,0
520485,CAMPO LIMPO DE GOIAS,7361.0,0.0006599692429372348,0.0007814561085267729,0.00012148686558953806,18.40795868741596,5,6,1
520490,CAMPOS BELOS,18867.0,0.027375750970933834,0.03324836145149282,0.005872610480558985,21.45186989315552,516,627,111
520495,CAMPOS VERDES,4479.0,0.0013212108103806026,0.000972894390181102,-0.0003483164201995006,-26.363424932858422,6,4,-2
520500,CARMO DO RIO VERDE,9585.0,0.013907011648571476,0.019860461137724102,0.005953449489152626,42.80897751145669,133,190,57
520505,CASTELANDIA,3316.0,0.0076336171512911425,0.0067043130547886215,-0.000929304096502521,-12.173836833634489,25,22,-3
520510,CATALAO,104040.0,0.04832513446302529,0.04793632338283323,-0.0003888110801920572,-0.8045731988382687,5028,4987,-41
520520,CATURAI,5118.0,0.0009088773818638021,0.000998610947962161,8.973356609835899e-05,9.873011243204841,5,5,0
520530,CAVALCANTE,9811.0,1.2785262942403204e-05,9.466308328912192e-06,-3.3189546134910126e-06,-25.95922061550624,0,0,0
520540,CERES,21865.0,0.02920986588549012,0.028697579148153695,-0.0005122867373364252,-1.7538140686599373,639,627,-12
520545,CEZARINA,8007.0,0.03905578729706358,0.0394839102647603,0.00042812296769672437,1.0961831711145993,313,316,3
520547,CHAPADAO DO CEU,9909.0,0.0016916601576268365,0.0023719799568574103,0.0006803197992305738,40.216103462823625,17,24,7
520549,CIDADE OCIDENTAL,74983.0,0.008185772900891222,0.009204874216929334,0.001019101316038112,12.44966514923909,614,690,76
520551,COCALZINHO DE GOIAS,21801.0,0.0019024803535274105,0.0020027570287557343,0.00010027667522832383,5.270838936254963,41,44,3
520552,COLINAS DO SUL,3899.0,0.001612920317880064,0.0012068372070498962,-0.00040608311083016775,-25.17688606985258,6,5,-1
520570,CORREGO DO OURO,2579.0,0.005271755883569231,0.003118569940657433,-0.0021531859429117983,-40.84380973752503,14,8,-6
520580,CORUMBA DE GOIAS,10803.0,0.03539634751729315,0.035701303170135326,0.00030495565284217874,0.8615455385423323,382,386,4
520590,CORUMBAIBA,8908.0,0.03265956774999268,0.03371281003665436,0.0010532422866616833,3.224911899398667,291,300,9
520620,CRISTALINA,55968.0,0.012899402700464262,0.013987253121048456,0.0010878504205841938,8.433339479703514,722,783,61
520630,CRISTIANOPOLIS,3308.0,0.013435845222823343,0.01517995650565041,0.001744111282827067,12.981031367229221,44,50,6
